Sample	NTRK_fusions	FGFR1_fusions
BS_052PZFMK	None	None
BS_0VXZCRJS	None	None
BS_1A6MQ9ZA	None	None
BS_1D6PZNKN	None	FGFR1--TACC1
BS_1EBQ3T20	None	None
BS_1N7MQZGR	None	None
BS_21ET39G7	None	None
BS_23QW0BBA	None	None
BS_29X4ZX6Q	None	None
BS_2A162JH9	None	None
BS_2EN3X6HB	None	None
BS_2JP7RBMB	None	None
BS_3AC3SRWH	None	None
BS_3MS8WVNR	None	None
BS_40MP5BWR	None	None
BS_45J79YTF	None	None
BS_49BQS7Z6	None	None
BS_49CJNZ06	None	None
BS_49FQXT2E	None	None
BS_4B0BAVTX	None	None
BS_4PPHAQXF	None	None
BS_4PWDGEB0	None	None
BS_4QW2S1Q8	None	None
BS_51RA1PGE	None	None
BS_52C576HH	None	None
BS_52MPKTJH	None	None
BS_58YXHGAJ	None	None
BS_59ZJWJTF	None	None
BS_5CTVXVRX	None	None
BS_5GNQC2FF	None	None
BS_5P1TN10Z	None	None
BS_5VPM0F36	None	None
BS_68KX6A42	None	None
BS_6DCSD5Y6	None	None
BS_6M2053M0	None	None
BS_6VPKXXMR	None	None
BS_6WP1FHTE	None	None
BS_7327SDAQ	None	None
BS_7GJT4A6A	None	None
BS_7WM3MNZ0	None	None
BS_84XCR9GG	None	None
BS_8MA5B8Y9	None	None
BS_8PNA0V6R	None	None
BS_8ZD6J47V	None	None
BS_8ZS9F31R	None	None
BS_8ZY4GST0	None	None
BS_91VYM11A	None	None
BS_97M1E2DW	None	None
BS_9CA93S6D	None	None
BS_9XVACXP0	None	None
BS_A0DYVX9J	None	None
BS_AWH9757B	None	None
BS_B1C6GZ84	None	None
BS_BMMY0H73	NTRK2--NTRK2	None
BS_BWBDH9GM	None	None
BS_BYCX6VK1	None	None
BS_C41DJZ1F	None	None
BS_C6ZZ3FY5	None	None
BS_C83TK159	None	None
BS_CXVGG342	None	None
BS_D29RPBSZ	None	None
BS_D7XRFE0R	None	None
BS_DFGS950G	None	None
BS_DRY58DTF	None	None
BS_E60JZ9Z3	None	None
BS_EZ3147MX	None	None
BS_F0JB4EAK	None	None
BS_FCDAH728	None	None
BS_FN07P04C	None	None
BS_FYRDYBMZ	None	None
BS_G3NN392N	None	None
BS_G3RJTBZD	None	None
BS_GG9W3J9Y	NTRK3--NTRK3	None
BS_GW0GKWMS	None	None
BS_GWSJ4Z9H	None	None
BS_GXTFW99H	None	None
BS_H0QWRJE2	None	None
BS_H1ZS5FMZ	None	None
BS_H97S5SQN	None	None
BS_HE0WJRW6	None	None
BS_HWGWYCY7	None	None
BS_J8VX4D17	None	None
BS_JB43XBCQ	None	None
BS_JQVAWTTM	None	None
BS_JRYJGYC4	None	None
BS_JS95PE0J	None	None
BS_K17VQECG	None	None
BS_KBEX4RT2	None	None
BS_KP735TJ6	TPM3--NTRK1	None
BS_M0QYNVK8	None	None
BS_M1PVEHCM	None	None
BS_M7HCF7DW	None	None
BS_M85CXHDV	None	None
BS_M8EA6R2A	None	None
BS_MB7WN0ZB	None	None
BS_MKM0EEN1	None	None
BS_MN5XVP5A	None	None
BS_MX23ZY0Y	None	None
BS_N6N147BY	None	None
BS_NB9XXBW6	None	None
BS_NGSG2KB6	None	None
BS_NNPEC7W1	None	None
BS_P0QF87WC	NTRK3--NTRK3	None
BS_P9JP6JFA	None	None
BS_PGK832G2	None	None
BS_PKW05VZV	None	None
BS_PNYN0AYD	None	None
BS_PS0P3QJ3	None	None
BS_PXCPK5XS	None	None
BS_PZVHMSYN	None	None
BS_Q13FQ8FV	None	None
BS_QB84TBA3	None	None
BS_QNNX91SM	None	None
BS_QWTE1CWR	None	None
BS_QYPHA40N	None	None
BS_R5SNFB5B	None	None
BS_R7NTZR4C	None	None
BS_R9B92M75	None	None
BS_RCCN63K6	None	None
BS_RX1YTZ7F	None	None
BS_RXN5T5YT	None	None
BS_S2TA8R29	None	None
BS_S5P8VTN5	None	None
BS_S6S7SK3P	None	None
BS_SB12W1XT	None	None
BS_SD8YBRBR	None	None
BS_SHJA4MR0	None	None
BS_SNVM7CZT	None	None
BS_T1YHK6B7	None	None
BS_T3DGY9J9	None	None
BS_TGS109T3	None	None
BS_TJTEF70D	None	None
BS_TK84K675	None	None
BS_TM9MH0RP	NTRK2--CTNND2	None
BS_TRKH2SPE	NTRK3--NTRK3	None
BS_TV5B86ZD	None	None
BS_TXZ7KHTQ	None	None
BS_V3Z3DB4N	None	None
BS_VF5XWFXD	None	None
BS_VMQMGSJY	None	None
BS_VVTHDRBD	None	None
BS_W1385R8Y	None	None
BS_W4DB5RP1	None	None
BS_W4H1D4Y6	None	None
BS_W60RQAKK	None	None
BS_W7MFJZ5A	None	None
BS_W9N9844Q	None	None
BS_WAXJY4XQ	None	None
BS_WH8G4VFB	None	None
BS_WJ9H4NZZ	None	None
BS_WKESC3XN	None	None
BS_X0XXN9BK	None	None
BS_X23724NJ	None	None
BS_X4DD4KSZ	None	None
BS_XG0DBWVT	None	None
BS_XGDPK33A	None	None
BS_XZM79E42	None	None
BS_YDEVMD24	None	None
BS_YEW22W35	None	None
BS_Z3RCA1T9	None	None
BS_Z8F3GM85	None	None
BS_Z8YZ6QGS	None	None
BS_ZD5HN296	None	None
BS_ZF6BSFNF	None	None
BS_ZV1P6W9C	None	None
BS_ZVWE73JZ	None	None
